,Zip Code,2018 Median Rent
1,76501,523
2,76502,930
3,76504,680
4,76511,393
5,76513,668
6,76518,663
7,76519,-666666666
8,76520,476
9,76522,680
10,76524,656
11,76525,406
12,76527,609
13,76528,552
14,76530,518
15,76534,481
16,76537,927
17,76538,746
18,76539,676
19,76541,529
20,76542,871
21,76543,672
22,76544,1198
23,76548,747
24,76549,884
25,76550,531
26,76554,648
27,76556,405
28,76557,506
29,76559,703
30,76561,521
31,76566,-666666666
32,76567,554
33,76569,658
34,76570,433
35,76571,657
36,76574,705
37,76577,576
38,76578,673
39,76579,774
40,76624,615
41,76630,653
42,76632,831
43,76633,679
44,76638,619
45,76640,686
46,76643,904
47,76655,763
48,76656,383
49,76657,706
50,76661,325
51,76664,554
52,76680,-666666666
53,76682,688
54,76685,-666666666
55,76691,603
56,76701,778
57,76704,496
58,76705,590
59,76706,710
60,76707,583
61,76708,673
62,76710,675
63,76711,683
64,76712,794
65,76798,-666666666
66,76831,-666666666
67,76853,464
68,76885,-666666666
69,77853,550
70,78602,744
71,78605,548
72,78606,642
73,78607,-666666666
74,78608,-666666666
75,78609,592
76,78610,1034
77,78611,615
78,78612,1019
79,78613,1205
80,78615,675
81,78617,977
82,78618,720
83,78619,1276
84,78620,886
85,78621,662
86,78624,757
87,78626,924
88,78628,961
89,78631,785
90,78633,1515
91,78634,1153
92,78635,-666666666
93,78636,716
94,78639,641
95,78640,1178
96,78641,1231
97,78642,697
98,78643,558
99,78645,889
100,78650,579
101,78652,1242
102,78653,1099
103,78654,691
104,78657,907
105,78659,568
106,78660,1202
107,78662,741
108,78663,-666666666
109,78664,1058
110,78665,1245
111,78666,880
112,78669,838
113,78671,-666666666
114,78672,-666666666
115,78675,-666666666
116,78676,1075
117,78681,1214
118,78701,1873
119,78702,962
120,78703,1337
121,78704,1203
122,78705,1176
123,78712,-666666666
124,78717,1201
125,78719,686
126,78721,902
127,78722,1194
128,78723,893
129,78724,933
130,78725,1247
131,78726,1064
132,78727,1141
133,78729,1086
134,78730,1219
135,78731,1150
136,78732,1456
137,78733,1720
138,78734,1540
139,78735,1312
140,78736,1327
141,78737,1409
142,78738,1408
143,78739,2240
144,78741,932
145,78742,953
146,78744,942
147,78745,1115
148,78746,1389
149,78747,1253
150,78748,1229
151,78749,1266
152,78750,1218
153,78751,1200
154,78752,877
155,78753,876
156,78754,1042
157,78756,1146
158,78757,998
159,78758,965
160,78759,1119
161,78942,653
162,78946,743
163,78947,531
164,78948,-666666666
165,78953,1118
