,Zip Code,2019 Median Cost
1,76501,121000
2,76502,163600
3,76504,96100
4,76511,91500
5,76513,173000
6,76518,98300
7,76519,202000
8,76520,94700
9,76522,118300
10,76524,124000
11,76525,104900
12,76527,171200
13,76528,113600
14,76530,150400
15,76534,157300
16,76537,180000
17,76538,158800
18,76539,190400
19,76541,69900
20,76542,153900
21,76543,91500
22,76544,92000
23,76548,202100
24,76549,138900
25,76550,145900
26,76554,112300
27,76556,118200
28,76557,150400
29,76559,132600
30,76561,88800
31,76566,179900
32,76567,109800
33,76569,85500
34,76570,65000
35,76571,292700
36,76574,163400
37,76577,149300
38,76578,160400
39,76579,140600
40,76624,109500
41,76630,148800
42,76632,83900
43,76633,213500
44,76638,240700
45,76640,88200
46,76643,167500
47,76655,201100
48,76656,108800
49,76657,194200
50,76661,58400
51,76664,109200
52,76680,-666666666
53,76682,95200
54,76685,-666666666
55,76691,113600
56,76701,-666666666
57,76704,85500
58,76705,97800
59,76706,123400
60,76707,77800
61,76708,140500
62,76710,137300
63,76711,68500
64,76712,209000
65,76798,-666666666
66,76831,-666666666
67,76853,127700
68,76885,-666666666
69,77853,94600
70,78602,195400
71,78605,163800
72,78606,264500
73,78607,350000
74,78608,168500
75,78609,160000
76,78610,255000
77,78611,179500
78,78612,163200
79,78613,295000
80,78615,178400
81,78617,148300
82,78618,326400
83,78619,486600
84,78620,413300
85,78621,166300
86,78624,294000
87,78626,221900
88,78628,309800
89,78631,227200
90,78633,319500
91,78634,203900
92,78635,343000
93,78636,262300
94,78639,154700
95,78640,189100
96,78641,253600
97,78642,280100
98,78643,171300
99,78645,252800
100,78650,155700
101,78652,306200
102,78653,187700
103,78654,207900
104,78657,314700
105,78659,181000
106,78660,232700
107,78662,191900
108,78663,-666666666
109,78664,215800
110,78665,266400
111,78666,172100
112,78669,449800
113,78671,156000
114,78672,123600
115,78675,-666666666
116,78676,296800
117,78681,299700
118,78701,448100
119,78702,399400
120,78703,849600
121,78704,553300
122,78705,431300
123,78712,-666666666
124,78717,369200
125,78719,144000
126,78721,284400
127,78722,423100
128,78723,338100
129,78724,147400
130,78725,167700
131,78726,473500
132,78727,295200
133,78729,285500
134,78730,730800
135,78731,636800
136,78732,536800
137,78733,623900
138,78734,421300
139,78735,496200
140,78736,344200
141,78737,454600
142,78738,562800
143,78739,467000
144,78741,208300
145,78742,-666666666
146,78744,164300
147,78745,279500
148,78746,903900
149,78747,235600
150,78748,272100
151,78749,344700
152,78750,418900
153,78751,483300
154,78752,275500
155,78753,199600
156,78754,223700
157,78756,537700
158,78757,416300
159,78758,222400
160,78759,444100
161,78942,125300
162,78946,117600
163,78947,192300
164,78948,259100
165,78953,161800
