,Zip Code,2021 Total,2021 With Mortgage,2021 Without Mortgage
1,76501,848,1157,459
2,76502,1209,1517,595
3,76504,824,1177,452
4,76511,793,1177,505
5,76513,1201,1636,547
6,76518,520,1507,399
7,76519,1041,1825,571
8,76520,636,1042,484
9,76522,1052,1337,526
10,76524,1105,1504,495
11,76525,591,1229,392
12,76527,1206,1918,596
13,76528,680,1273,417
14,76530,948,1628,484
15,76534,1023,1461,546
16,76537,1589,1699,570
17,76538,792,992,523
18,76539,1289,1461,549
19,76541,609,985,397
20,76542,1252,1481,521
21,76543,817,1109,421
22,76544,473,-666666666,473
23,76548,1469,1671,649
24,76549,1217,1394,470
25,76550,898,1353,638
26,76554,853,1168,466
27,76556,480,1298,307
28,76557,764,1701,387
29,76559,1387,1435,292
30,76561,825,1000,482
31,76566,635,2580,483
32,76567,741,1174,490
33,76569,656,1160,377
34,76570,437,1641,329
35,76571,1243,1894,669
36,76574,1120,1609,596
37,76577,840,1242,361
38,76578,1130,1641,609
39,76579,1017,1299,471
40,76624,742,1300,433
41,76630,1276,1550,469
42,76632,440,1495,372
43,76633,1149,1705,641
44,76638,1196,2228,685
45,76640,734,1144,383
46,76643,1221,1549,624
47,76655,1341,1846,642
48,76656,790,1372,342
49,76657,1390,2537,665
50,76661,551,985,428
51,76664,791,1265,521
52,76680,-666666666,-666666666,-666666666
53,76682,687,1297,458
54,76685,-666666666,-666666666,-666666666
55,76691,828,1666,489
56,76701,755,1794,595
57,76704,657,1061,474
58,76705,842,1160,490
59,76706,778,1547,544
60,76707,661,972,439
61,76708,942,1456,530
62,76710,947,1477,609
63,76711,498,1066,376
64,76712,1401,1702,747
65,76798,-666666666,-666666666,-666666666
66,76831,-666666666,-666666666,-666666666
67,76853,664,1178,485
68,76885,392,-666666666,346
69,77853,553,1160,485
70,78602,1169,1588,611
71,78605,911,1676,328
72,78606,1183,1635,568
73,78607,-666666666,-666666666,524
74,78608,-666666666,1565,-666666666
75,78609,658,1594,480
76,78610,1748,1999,816
77,78611,933,1577,564
78,78612,1216,1662,573
79,78613,1915,2240,841
80,78615,1225,1473,538
81,78617,1065,1472,583
82,78618,562,1613,517
83,78619,2108,3166,845
84,78620,1862,2524,940
85,78621,1188,1639,540
86,78624,905,1785,622
87,78626,1544,1848,685
88,78628,1901,2330,868
89,78631,745,1680,431
90,78633,1230,2017,780
91,78634,1752,1870,739
92,78635,-666666666,-666666666,-666666666
93,78636,792,1441,565
94,78639,963,1312,492
95,78640,1433,1710,692
96,78641,1865,2132,829
97,78642,2079,2365,765
98,78643,852,1323,470
99,78645,1371,2016,685
100,78650,841,1181,647
101,78652,1945,2248,555
102,78653,1545,1673,670
103,78654,974,1605,615
104,78657,1101,1650,735
105,78659,924,1615,524
106,78660,1717,1949,786
107,78662,915,1454,-666666666
108,78663,1598,1848,558
109,78664,1625,1738,746
110,78665,1976,2248,872
111,78666,1141,1606,529
112,78669,2084,2739,807
113,78671,632,1411,469
114,78672,608,1181,430
115,78675,1076,-666666666,-666666666
116,78676,1348,1892,787
117,78681,1911,2312,840
118,78701,2877,3246,1501
119,78702,1800,2464,799
120,78703,3073,4001,1501
121,78704,2295,3078,1232
122,78705,1382,2644,929
123,78712,-666666666,-666666666,-666666666
124,78717,2411,2781,1090
125,78719,763,1245,588
126,78721,1390,1951,650
127,78722,2009,2731,834
128,78723,1832,2249,788
129,78724,927,1403,599
130,78725,1340,1529,586
131,78726,2757,3171,1007
132,78727,1730,2049,859
133,78729,1843,2035,753
134,78730,3486,4001,1501
135,78731,2307,3614,1171
136,78732,2843,3310,1290
137,78733,2769,3397,1271
138,78734,2216,2700,1068
139,78735,2631,3305,1204
140,78736,1763,2427,677
141,78737,2624,3151,1037
142,78738,2852,3264,1319
143,78739,2587,3018,1126
144,78741,1232,1967,562
145,78742,708,1875,-666666666
146,78744,1233,1538,579
147,78745,1541,1925,678
148,78746,3158,4001,1501
149,78747,1403,1620,695
150,78748,1716,1975,780
151,78749,1830,2157,912
152,78750,1739,2523,1061
153,78751,2296,2901,1070
154,78752,1347,1685,578
155,78753,1255,1679,677
156,78754,1778,1949,798
157,78756,2167,3037,1296
158,78757,1886,2639,904
159,78758,1414,1735,673
160,78759,1937,2656,963
161,78942,905,1611,481
162,78946,514,1505,433
163,78947,742,1432,541
164,78948,942,1696,554
165,78953,996,1166,742
