Zip Code,2020 Median Contract Rent,Median Monthly Cost,Total Median Monthly Cost,Median Monthly Cost With Mortgage,Median Monthly Cost Without Mortgage,Total Housing Units,Housing Units Owned,Housing Units Rented
76501,550.0,120600.0,777.0,1138.0,456.0,6342,4132,2210
76502,931.0,166500.0,1145.0,1442.0,561.0,15313,10158,5155
76504,729.0,98500.0,807.0,1124.0,427.0,9009,3072,5937
76511,359.0,101700.0,537.0,1125.0,360.0,775,585,190
76513,777.0,179300.0,1118.0,1535.0,531.0,14123,9398,4725
76518,421.0,96800.0,440.0,1176.0,369.0,550,443,107
76519,,140800.0,,1985.0,526.0,153,120,33
76520,531.0,99800.0,615.0,1050.0,483.0,2881,1929,952
76522,667.0,121100.0,1001.0,1254.0,482.0,14201,8635,5566
76524,719.0,158300.0,1017.0,1334.0,448.0,1342,1082,260
76525,482.0,97900.0,520.0,1095.0,390.0,525,412,113
76527,628.0,289300.0,1181.0,1818.0,571.0,1187,800,387
76528,498.0,130600.0,670.0,1203.0,390.0,5708,4313,1395
76530,555.0,152400.0,806.0,1334.0,475.0,616,473,143
76534,607.0,159100.0,870.0,1305.0,504.0,1116,892,224
76537,886.0,188800.0,1446.0,1564.0,510.0,2030,1640,390
76538,1075.0,120800.0,736.0,982.0,514.0,466,402,64
76539,485.0,198400.0,1243.0,1482.0,522.0,3106,2895,211
76541,548.0,71600.0,553.0,923.0,370.0,7766,1967,5799
76542,880.0,161800.0,1247.0,1423.0,486.0,18315,10302,8013
76543,723.0,96900.0,750.0,1062.0,410.0,12618,4786,7832
76544,1182.0,,,,512.0,2978,57,2921
76548,735.0,200900.0,1418.0,1638.0,578.0,10945,6104,4841
76549,902.0,146400.0,1121.0,1264.0,459.0,18213,9072,9141
76550,544.0,158200.0,839.0,1280.0,582.0,5248,3829,1419
76554,698.0,133200.0,889.0,1095.0,410.0,835,607,228
76556,425.0,103800.0,531.0,1223.0,293.0,636,577,59
76557,638.0,170500.0,621.0,1535.0,366.0,2033,1637,396
76559,693.0,141400.0,1285.0,1384.0,431.0,2170,1339,831
76561,421.0,97000.0,766.0,957.0,425.0,382,287,95
76566,,185000.0,557.0,,497.0,73,68,5
76567,580.0,115800.0,738.0,1138.0,419.0,3628,2574,1054
76569,540.0,77900.0,644.0,1129.0,347.0,824,652,172
76570,420.0,72000.0,528.0,1543.0,332.0,894,712,182
76571,680.0,283700.0,1371.0,1925.0,660.0,3096,2631,465
76574,710.0,174800.0,1076.0,1564.0,577.0,6571,4594,1977
76577,581.0,152400.0,760.0,1230.0,376.0,1166,908,258
76578,685.0,163500.0,792.0,1591.0,540.0,378,295,83
76579,583.0,137600.0,763.0,1115.0,424.0,1855,1284,571
76624,634.0,102700.0,692.0,1243.0,395.0,833,691,142
76630,713.0,120700.0,669.0,1362.0,445.0,524,466,58
76632,827.0,102200.0,419.0,1375.0,359.0,512,410,102
76633,672.0,236000.0,1173.0,1604.0,683.0,1746,1621,125
76638,850.0,243000.0,976.0,2109.0,571.0,1134,1043,91
76640,658.0,88800.0,723.0,1037.0,406.0,1083,770,313
76643,966.0,174900.0,1141.0,1487.0,619.0,5167,3565,1602
76655,725.0,198100.0,1298.0,1731.0,559.0,2938,2605,333
76656,469.0,108100.0,829.0,1350.0,345.0,825,682,143
76657,794.0,253000.0,1323.0,1858.0,641.0,3784,2837,947
76661,404.0,47700.0,613.0,901.0,410.0,2355,1511,844
76664,590.0,99800.0,714.0,1240.0,458.0,1083,788,295
76680,,,396.0,,314.0,64,64,0
76682,733.0,106300.0,584.0,1166.0,410.0,992,779,213
76685,,,363.0,,381.0,23,23,0
76691,620.0,141300.0,756.0,1559.0,462.0,2316,1798,518
76701,848.0,153000.0,757.0,1847.0,608.0,696,151,545
76704,486.0,102700.0,643.0,941.0,433.0,3186,1118,2068
76705,604.0,109900.0,765.0,1119.0,454.0,11050,6300,4750
76706,749.0,127000.0,797.0,1403.0,522.0,13488,5278,8210
76707,607.0,81200.0,612.0,895.0,421.0,5437,2767,2670
76708,669.0,139700.0,875.0,1383.0,480.0,9641,5938,3703
76710,733.0,151900.0,961.0,1402.0,607.0,10943,5393,5550
76711,951.0,72500.0,494.0,1010.0,363.0,3653,2015,1638
76712,866.0,218600.0,1312.0,1629.0,719.0,9926,6895,3031
76798,,,,,,0,0,0
76831,,,,,,0,0,0
76853,711.0,161500.0,660.0,1131.0,474.0,474,371,103
76885,,,,,297.0,73,50,23
77853,530.0,118800.0,578.0,1073.0,494.0,508,436,72
78602,984.0,209200.0,1087.0,1448.0,608.0,9107,6990,2117
