,Zip Code,2020 Total Units,2020 Number Owned,2020 Number Rented
1,,6342,4132,2210
2,,15313,10158,5155
3,,9009,3072,5937
4,,775,585,190
5,,14123,9398,4725
6,,550,443,107
7,,153,120,33
8,,2881,1929,952
9,,14201,8635,5566
10,,1342,1082,260
11,,525,412,113
12,,1187,800,387
13,,5708,4313,1395
14,,616,473,143
15,,1116,892,224
16,,2030,1640,390
17,,466,402,64
18,,3106,2895,211
19,,7766,1967,5799
20,,18315,10302,8013
21,,12618,4786,7832
22,,2978,57,2921
23,,10945,6104,4841
24,,18213,9072,9141
25,,5248,3829,1419
26,,835,607,228
27,,636,577,59
28,,2033,1637,396
29,,2170,1339,831
30,,382,287,95
31,,73,68,5
32,,3628,2574,1054
33,,824,652,172
34,,894,712,182
35,,3096,2631,465
36,,6571,4594,1977
37,,1166,908,258
38,,378,295,83
39,,1855,1284,571
40,,833,691,142
41,,524,466,58
42,,512,410,102
43,,1746,1621,125
44,,1134,1043,91
45,,1083,770,313
46,,5167,3565,1602
47,,2938,2605,333
48,,825,682,143
49,,3784,2837,947
50,,2355,1511,844
51,,1083,788,295
52,,64,64,0
53,,992,779,213
54,,23,23,0
55,,2316,1798,518
56,,696,151,545
57,,3186,1118,2068
58,,11050,6300,4750
59,,13488,5278,8210
60,,5437,2767,2670
61,,9641,5938,3703
62,,10943,5393,5550
63,,3653,2015,1638
64,,9926,6895,3031
65,,0,0,0
66,,0,0,0
67,,474,371,103
68,,73,50,23
69,,508,436,72
70,,9107,6990,2117
71,,2144,1869,275
72,,2383,1827,556
73,,55,45,10
74,,142,103,39
75,,850,658,192
76,,13284,10341,2943
77,,4507,3508,999
78,,4119,3446,673
79,,27558,19693,7865
80,,376,296,80
81,,6981,5665,1316
82,,148,121,27
83,,1907,1721,186
84,,6416,5509,907
85,,7183,5704,1479
86,,9343,6565,2778
87,,11466,7736,3730
88,,13159,9788,3371
89,,1129,952,177
90,,12626,11580,1046
91,,11461,9072,2389
92,,183,138,45
93,,1512,1132,380
94,,3481,2461,1020
95,,19246,13360,5886
96,,24371,19304,5067
97,,3825,3023,802
98,,2666,2112,554
99,,4851,4105,746
100,,702,578,124
101,,2210,1450,760
102,,8981,7565,1416
103,,7174,5216,1958
104,,2787,2429,358
105,,943,879,64
106,,33953,25252,8701
107,,1041,795,246
108,,304,249,55
109,,21034,11435,9599
110,,16257,10702,5555
111,,29205,11069,18136
112,,5185,4763,422
113,,229,174,55
114,,497,483,14
115,,129,106,23
116,,5884,4608,1276
117,,18018,13689,4329
118,,7287,2748,4539
119,,10513,4262,6251
120,,9478,5343,4135
121,,26471,8758,17713
122,,8492,764,7728
123,,0,0,0
124,,9916,5900,4016
125,,405,319,86
126,,4027,2119,1908
127,,3145,1456,1689
128,,14192,6835,7357
129,,6619,4180,2439
130,,3038,2583,455
131,,5604,2476,3128
132,,13911,6221,7690
133,,11516,4811,6705
134,,4453,2566,1887
135,,13412,7313,6099
136,,6197,4597,1600
137,,2839,2578,261
138,,8181,6786,1395
139,,7862,3871,3991
140,,3677,2665,1012
141,,6280,5708,572
142,,6368,4611,1757
143,,6788,6395,393
144,,20714,3467,17247
145,,273,170,103
146,,16053,7677,8376
147,,27994,13565,14429
148,,10414,7224,3190
149,,6657,5305,1352
150,,21027,12485,8542
151,,15836,10462,5374
152,,12383,7193,5190
153,,8446,2124,6322
154,,9133,2129,7004
155,,21602,7644,13958
156,,9348,5410,3938
157,,4414,1997,2417
158,,11261,6369,4892
159,,21851,6301,15550
160,,21740,10542,11198
161,,3194,2285,909
162,,499,360,139
163,,1742,1562,180
164,,154,132,22
165,,403,282,121
