Zip Code,2021 Median Contract Rent,Median Monthly Cost,Total Median Monthly Cost,Median Monthly Cost With Mortgage,Median Monthly Cost Without Mortgage,Total Housing Units,Housing Units Owned,Housing Units Rented
76501,597,120400,848,1157,459,6595,4117,2478
76502,969,183700,1209,1517,595,16488,11066,5422
76504,759,114400,824,1177,452,9722,3255,6467
76511,364,120600,793,1177,505,872,684,188
76513,838,189700,1201,1636,547,14535,9580,4955
76518,425,145000,520,1507,399,522,390,132
76520,575,113300,636,1042,484,2815,1928,887
76522,737,132400,1052,1337,526,14682,9063,5619
76524,725,162400,1105,1504,495,1292,1026,266
76525,520,115000,591,1229,392,461,348,113
76527,535,306900,1206,1918,596,1583,1047,536
76528,576,134400,680,1273,417,6762,4816,1946
76530,559,171900,948,1628,484,966,782,184
76534,575,168900,1023,1461,546,1108,887,221
76537,1281,205600,1589,1699,570,3474,2820,654
76539,644,200900,1289,1461,549,3189,2895,294
76541,582,76400,609,985,397,7908,1959,5949
76542,933,170500,1252,1481,521,18486,10823,7663
76543,761,102400,817,1109,421,12893,4932,7961
76548,777,206300,1469,1671,649,11250,6249,5001
76549,932,161200,1217,1394,470,18619,9235,9384
76550,595,167200,898,1353,638,5097,3783,1314
76554,761,145600,853,1168,466,840,612,228
76557,714,161800,764,1701,387,2089,1623,466
76559,826,153100,1387,1435,292,2369,1537,832
76561,524,111100,825,1000,482,442,329,113
76567,622,128200,741,1174,490,3717,2637,1080
76569,764,94700,656,1160,377,894,782,112
76570,442,69500,437,1641,329,904,714,190
76571,927,295500,1243,1894,669,3394,2882,512
76574,737,192500,1120,1609,596,7438,5370,2068
76577,585,144700,840,1242,361,1255,969,286
76578,695,209700,1130,1641,609,544,425,119
76579,639,146500,1017,1299,471,2086,1383,703
76624,665,129300,742,1300,433,876,773,103
76630,736,205400,1276,1550,469,664,589,75
76633,675,250400,1149,1705,641,1989,1884,105
76638,962,264400,1196,2228,685,1066,983,83
76640,710,125400,734,1144,383,1136,829,307
76643,1007,188700,1221,1549,624,5655,3840,1815
76655,875,224400,1341,1846,642,2946,2580,366
76656,488,102100,790,1372,342,860,658,202
76657,831,306500,1390,2537,665,4013,2997,1016
76661,332,48400,551,985,428,2145,1337,808
76664,624,106100,791,1265,521,1280,934,346
76682,763,111800,687,1297,458,1077,889,188
76691,648,158400,828,1666,489,2427,1904,523
76701,999,115000,755,1794,595,759,148,611
76704,554,106900,657,1061,474,3287,1037,2250
76705,642,125900,842,1160,490,11109,6232,4877
76706,780,137900,778,1547,544,14079,5575,8504
76707,652,85600,661,972,439,5808,3013,2795
76708,720,154500,942,1456,530,9508,5967,3541
76710,778,171700,947,1477,609,10705,5287,5418
76711,1023,78700,498,1066,376,3894,2030,1864
76712,939,231800,1401,1702,747,10264,7056,3208
