,Zip Code,2022 Median Contract Rent,Median Monthly Cost,Total Median Monthly Cost,Median Monthly Cost With Mortgage,Median Monthly Cost Without Mortgage,Total Housing Units,Housing Units Owned,Housing Units Rented
0,76501,675,147700,882,1320,510,6600,4313,2287
1,76502,1091,222600,1315,1646,636,17425,11352,6073
2,76504,836,142600,955,1313,490,9990,3177,6813
3,76511,375,150200,837,1260,555,895,725,170
4,76513,961,235500,1274,1788,608,14872,10069,4803
5,76518,488,160700,544,1453,434,524,404,120
6,76519,-666666666,171900,-666666666,2486,540,177,177,0
7,76520,652,135000,725,1200,494,2731,2005,726
8,76522,778,153000,1079,1389,543,15716,9399,6317
9,76524,778,176800,1104,1478,527,1452,1181,271
10,76525,552,142600,621,1236,449,495,374,121
11,76527,553,374400,1440,2043,656,1501,1108,393
12,76528,657,157900,741,1421,472,6592,4591,2001
13,76530,555,201200,981,1629,588,963,816,147
14,76534,582,185000,1155,1457,577,1065,814,251
15,76537,1367,251900,1781,1867,627,3951,3225,726
16,76538,-666666666,123200,805,1220,535,496,423,73
17,76539,702,237200,1321,1642,619,3124,2886,238
18,76541,635,87400,567,1092,405,8321,1996,6325
19,76542,1006,210900,1394,1590,569,18996,11639,7357
20,76543,838,123100,841,1214,460,13081,4971,8110
21,76544,1276,9999,-666666666,-666666666,-666666666,4207,25,4182
22,76548,800,239400,1624,1828,683,11655,6516,5139
23,76549,999,185600,1220,1482,516,19398,10059,9339
24,76550,632,218300,968,1497,698,5050,3817,1233
25,76554,793,158000,940,1239,514,807,616,191
26,76556,-666666666,156600,497,1483,361,735,668,67
27,76557,792,168800,786,1705,387,1805,1383,422
28,76559,762,171600,1399,1499,344,2319,1529,790
29,76561,518,136000,874,1257,566,427,325,102
30,76566,-666666666,250000,665,2553,567,120,116,4
31,76567,704,152500,784,1516,530,3668,2659,1009
32,76569,697,102700,757,1223,389,991,833,158
33,76570,570,79300,531,1769,371,861,692,169
34,76571,981,351300,1326,2154,769,3555,3073,482
35,76574,815,235100,1257,1699,681,7686,5648,2038
36,76577,623,134100,834,1279,401,1262,966,296
37,76578,738,235700,1048,1602,690,460,364,96
38,76579,780,189700,1126,1473,593,1713,1072,641
39,76624,625,126600,709,1421,524,918,832,86
40,76630,795,226900,1305,1792,461,804,695,109
41,76632,553,126500,509,1556,397,577,473,104
42,76633,1149,300200,1182,2002,697,1996,1787,209
43,76638,925,328700,1409,2438,819,1023,959,64
44,76640,545,162100,870,1183,449,1091,827,264
45,76643,1087,233700,1236,1671,691,5955,3953,2002
46,76655,1072,259600,1541,1868,733,3048,2710,338
47,76656,640,106200,763,1390,373,909,695,214
48,76657,857,341700,1547,2345,832,4048,3079,969
49,76661,340,78200,497,938,436,1988,1417,571
50,76664,622,120100,766,1356,557,1216,912,304
51,76680,-666666666,29400,-666666666,-666666666,338,51,51,0
52,76682,873,136600,734,1479,491,1124,933,191
53,76685,-666666666,-666666666,-666666666,-666666666,-666666666,31,31,0
54,76691,691,213300,907,1919,566,2345,1849,496
55,76701,955,100000,705,-666666666,578,826,152,674
56,76704,569,105200,736,1130,500,3250,1060,2190
57,76705,716,152000,842,1250,528,10811,6384,4427
58,76706,873,162900,851,1743,589,14397,5390,9007
59,76707,713,99500,698,1092,494,5656,3182,2474
60,76708,828,182400,1052,1599,593,9523,6170,3353
61,76710,868,202900,1036,1638,673,10762,5096,5666
62,76711,1176,90500,609,1158,428,3814,1982,1832
63,76712,1066,277900,1539,1893,809,10732,7378,3354
64,76798,-666666666,-666666666,-666666666,-666666666,-666666666,0,0,0
65,76831,-666666666,-666666666,-666666666,-666666666,-666666666,0,0,0
66,76853,468,225000,697,1467,543,551,430,121
67,76885,-666666666,-666666666,-666666666,-666666666,-666666666,19,7,12
68,77853,621,116400,578,1557,494,392,335,57
69,78602,1077,248700,1253,1715,643,12244,9144,3100
70,78605,808,189800,927,1950,345,2643,2397,246
71,78606,580,326200,1443,1865,638,2650,2090,560
72,78607,-666666666,356300,-666666666,-666666666,519,71,54,17
73,78608,-666666666,265000,-666666666,-666666666,603,124,105,19
74,78609,836,260600,778,1641,576,819,676,143
75,78610,1369,346700,1876,2178,869,16017,12606,3411
76,78611,937,258700,968,1831,614,5318,4299,1019
77,78612,1252,217400,1164,1756,608,5381,4642,739
78,78613,1485,416000,2122,2451,927,33717,21834,11883
79,78615,742,265700,1354,1653,812,528,397,131
80,78617,1174,222100,1045,1610,618,8116,6528,1588
81,78618,863,335600,600,1663,552,139,120,19
82,78619,1224,655500,2141,3208,997,2104,1914,190
83,78620,1327,585300,2049,2703,1117,7000,6020,980
84,78621,944,247900,1237,1796,676,8747,6968,1779
85,78624,1110,404600,1022,1939,685,9698,6720,2978
86,78626,1445,324300,1736,1997,730,13927,9070,4857
87,78628,1229,419900,2086,2488,948,15543,12012,3531
88,78631,875,310200,892,1773,470,1021,832,189
89,78633,1665,400400,1328,2217,868,13531,12393,1138
90,78634,1595,289800,1850,1971,814,14077,11432,2645
91,78635,-666666666,-666666666,-666666666,-666666666,-666666666,34,34,0
92,78636,850,349500,915,1688,607,1669,1180,489
93,78639,806,236300,919,1341,614,3495,2726,769
94,78640,1386,259900,1561,1824,694,22797,16113,6684
95,78641,1571,395700,2054,2392,907,29559,23731,5828
96,78642,1117,454600,2088,2549,882,6877,5880,997
97,78643,791,273600,918,1485,530,3008,2206,802
98,78645,857,367500,1574,2268,802,6187,5463,724
99,78650,-666666666,223200,816,1219,669,859,788,71
100,78652,2149,435300,1958,2421,629,1796,1579,217
101,78653,1430,288500,1671,1837,691,10029,8789,1240
102,78654,1076,294800,1038,1787,665,7344,5187,2157
103,78657,1210,409300,1275,1886,808,3090,2670,420
104,78659,-666666666,247600,880,1864,564,1107,1022,85
105,78660,1480,335500,1904,2167,852,39826,27929,11897
106,78662,-666666666,228900,804,1648,-666666666,1289,900,389
